class,color_rgb,color_hex,class_name,pixel_count,area_m2
3,"(31, 141, 73)",#1f8d49,Forest Formation,11060266,0.8032776049443673
5,"(4, 56, 29)",#04381d,Mangrove,110531,0.00802757157487043
49,"(2, 214, 89)",#02d659,Wooded Sandbank Vegetation,1019596,0.07405053665896075
11,"(81, 151, 153)",#519799,Wetland,2298,0.00016689760772138355
12,"(214, 188, 116)",#d6bc74,Grassland,10600,0.0007698497135973306
32,"(252, 129, 20)",#fc8114,Hypersaline Tidal Flat,572,4.154283360166728e-05
29,"(255, 170, 95)",#ffaa5f,Rocky Outcrop,3309,0.00024032383983901576
50,"(173, 81, 0)",#ad5100,Herbaceous Sandbank Vegetation,1100,7.989006461859091e-05
15,"(237, 222, 142)",#edde8e,Pasture,2075208,0.1507168192881971
39,"(245, 179, 200)",#f5b3c8,Soybean,128287,0.00931714247247743
20,"(219, 112, 147)",#db7093,Sugar cane,167725,0.012181419171048329
41,"(245, 76, 169)",#f54ca9,Other Temporary Crops,790881,0.05743957654146891
46,"(214, 143, 226)",#d68fe2,Coffee,4511,0.0003276218922676942
48,"(230, 204, 255)",#e6ccff,Other Perennial Crops,1004,7.291784079733207e-05
9,"(122, 89, 0)",#7a5900,Forest Plantation,628424,0.04564075815261216
21,"(255, 239, 195)",#ffefc3,Mosaic of Uses,4834245,0.35109831402918185
23,"(255, 160, 122)",#ffa07a,"Beach, Dune and Sand Spot",8007,0.0005815270430918704
24,"(212, 39, 30)",#d4271e,Urban Area,3701342,0.26881859232318595
30,"(156, 0, 39)",#9c0027,Mining,36218,0.0026304166912328414
25,"(219, 77, 79)",#db4d4f,Other non Vegetated Areas,95009,0.0069002501357706405
33,"(37, 50, 228)",#2532e4,"River, Lake and Ocean",622425,0.04520506679111495
31,"(9, 16, 119)",#091077,Aquaculture,1381,0.00010029834476206732
